genre,name,notes,duration,pitch_min,pitch_max
classical,BlueStone_LastDungeon,478,150.0,33,98
classical,braska,187,132.0,50,88
classical,caitsith,774,329.2857142857143,36,87
classical,Cids,246,131.25,48,82
classical,cosmo,473,187.84615384615387,45,83
classical,costadsol,195,63.813559322033896,41,81
classical,dayafter,426,121.9090909090909,45,79
classical,decisive,550,104.00943396226415,38,88
classical,dontbeafraid,462,168.9570552147239,41,86
classical,DOS,476,146.38888888888889,43,91
classical,thenightmarebegins,672,118.5,50,82
classical,thoughts,354,114.85714285714285,47,89
classical,tifap,282,129.16666666666666,36,91
classical,tpirtsd-piano,270,108.0,66,86
classical,traitor,212,93.91304347826086,41,85
jazz,BlackMarket,621,109.875,29,82
jazz,BlackMountainRag,633,111.0,38,71
jazz,BlackPage,1306,173.14285714285714,36,92
jazz,Blows,244,86.51162790697674,40,79
jazz,BlueAngel,503,94.875,46,79
jazz,Chinatawn,509,121.171875,40,78
jazz,ChipBlue,279,56.470588235294116,29,94
jazz,Chromazone,839,215.4,29,84
jazz,CindyOhCindy,550,150.25,38,76
jazz,CitygateRumble,1730,287.8195488721804,25,91
jazz,Dying,478,146.85714285714286,34,73
jazz,MrMelody,418,213.58506486657524,31,104
jazz,NativeSonsOfADistantLand,1100,265.4347826086956,28,91
jazz,NaturalElements,309,95.73913043478261,40,83
jazz,NearnessOfYou,777,219.625,21,88
pop,ATeam,908,251.16279069767444,40,81
pop,ChasingPavements,532,247.25,31,94
pop,EasyOnMe,642,210.625,34,84
pop,Fearless,604,283.65000000000003,29,86
pop,GalwayGirl,530,168.29999999999998,33,92
pop,Hello,661,282.0,37,80
pop,IsItOverNow,1313,226.2,59,89
pop,Lovesong,1104,143.04,29,79
pop,LoveStory,899,233.8461538461538,55,80
pop,Mine,878,225.5,37,87
pop,OurSong,895,203.25842696629212,33,83
pop,Perfect,835,257.6842105263158,41,92
pop,ShapeofYou,652,230.0,44,76
pop,SomeoneLikeYou,1214,322.5,54,71
pop,ThinkingOutLoud,560,208.90243902439025,57,81
rock,AnotherOneBitesTheDust,651,168.25,18,86
rock,BohemianRhapsody,956,525.7638888888888,29,86
rock,Clocks,1338,305.9541984732824,48,82
rock,Creep,788,229.6774193548387,30,85
rock,dontlookbackinanger,32,7.75,35,45
rock,DontStopMeNow,816,320.47872340425533,29,84
rock,Everglow,1465,276.23287671232873,32,85
rock,GreenEyes,697,213.75,39,63
rock,HotelCalifornia,1540,388.7837837837838,28,90
rock,SmellsLikeTeenSpirit,1452,300.52631578947364,29,82
rock,VivaLaVida,857,238.7142857142857,24,84
rock,WeAreTheChampions,426,177.09677419354838,41,84
rock,WeWillRockYou,333,119.26829268292683,28,79
rock,Wonderwall,1107,223.6363636363636,30,71
rock,Yellow,789,259.09090909090907,49,80
