genre,file,notes,duration,pitch_min,pitch_max,mean_intra_distance
classical,BlueStone_LastDungeon.mid,478,150.000,33,98,0.095552
classical,caitsith.mid,774,329.286,36,87,0.094151
classical,Cids.mid,246,131.250,48,82,0.090140
classical,cosmo.mid,473,187.846,45,83,0.093050
classical,costadsol.mid,195,63.814,41,81,0.094918
classical,dayafter.mid,426,121.909,45,79,0.088761
classical,decisive.mid,550,104.009,38,88,0.090254
classical,DOS.mid,476,146.389,43,91,0.096781
classical,thenightmarebegins.mid,672,118.500,50,82,0.094189
classical,thoughts.mid,354,114.857,47,89,0.132254
classical,tifap.mid,282,129.167,36,91,0.136092
classical,tpirtsd-piano.mid,270,108.000,66,86,0.132892
classical,traitor.mid,212,93.913,41,85,0.090271
jazz,BlackMarket.mid,621,109.875,29,82,0.113832
jazz,BlackMountainRag.mid,633,111.000,38,71,0.104123
jazz,Blows.mid,244,86.512,40,79,0.113525
jazz,BlueAngel.mid,503,94.875,46,79,0.112204
jazz,Chinatawn.mid,509,121.172,40,78,0.102077
jazz,ChipBlue.mid,279,56.471,29,94,0.159795
jazz,Chromazone.mid,839,215.400,29,84,0.121458
jazz,CindyOhCindy.mid,550,150.250,38,76,0.086329
jazz,CitygateRumble.mid,1730,287.820,25,91,0.118454
jazz,Dying.mid,478,146.857,34,73,0.103771
jazz,MrMelody.mid,418,213.585,31,104,0.152424
jazz,NativeSonsOfADistantLand.mid,1100,265.435,28,91,0.092486
jazz,NaturalElements.mid,309,95.739,40,83,0.121633
jazz,NearnessOfYou.mid,777,219.625,21,88,0.170279
pop,ATeam.mid,908,251.163,40,81,0.143518
pop,ChasingPavements.mid,532,247.250,31,94,0.101181
pop,EasyOnMe.mid,642,210.625,34,84,0.115950
pop,Fearless.mid,604,283.650,29,86,0.108028
pop,GalwayGirl.mid,530,168.300,33,92,0.098047
pop,Hello.mid,661,282.000,37,80,0.135224
pop,IsItOverNow.mid,1313,226.200,59,89,0.174246
pop,Lovesong.mid,1104,143.040,29,79,0.137357
pop,LoveStory.mid,899,233.846,55,80,0.099510
pop,Mine.mid,878,225.500,37,87,0.218488
pop,OurSong.mid,895,203.258,33,83,0.091238
pop,Perfect.mid,835,257.684,41,92,0.214706
pop,ShapeofYou.mid,652,230.000,44,76,0.160775
pop,SomeoneLikeYou.mid,1214,322.500,54,71,0.113569
pop,ThinkingOutLoud.mid,560,208.902,57,81,0.159572
rock,AnotherOneBitesTheDust.mid,651,168.250,18,86,0.166382
rock,BohemianRhapsody.mid,956,525.764,29,86,0.104291
rock,Clocks.mid,1338,305.954,48,82,0.129337
rock,Creep.mid,788,229.677,30,85,0.145223
rock,DontStopMeNow.mid,816,320.479,29,84,0.092406
rock,Everglow.mid,1465,276.233,32,85,0.139350
rock,GreenEyes.mid,697,213.750,39,63,0.147451
rock,HotelCalifornia.mid,1540,388.784,28,90,0.126166
rock,SmellsLikeTeenSpirit.mid,1452,300.526,29,82,0.115887
rock,VivaLaVida.mid,857,238.714,24,84,0.128057
rock,WeAreTheChampions.mid,426,177.097,41,84,0.180979
rock,WeWillRockYou.mid,333,119.268,28,79,0.112474
rock,Wonderwall.mid,1107,223.636,30,71,0.103134
rock,Yellow.mid,789,259.091,49,80,0.151452
