name,genre,mds_x,mds_y
BlueStone_LastDungeon (highest),classical,-0.14310614,0.02593071
braska (highest),classical,0.17979613,-0.00089522
caitsith (highest),classical,-0.14378168,0.02787663
Cids (highest),classical,-0.14376310,0.02954939
cosmo (highest),classical,-0.14370163,0.02920959
costadsol (highest),classical,-0.14418271,0.03087032
dayafter (highest),classical,-0.14365494,0.03150951
decisive (highest),classical,-0.14355442,0.02637489
dontbeafraid (highest),classical,0.15398310,0.07556749
DOS (highest),classical,-0.14295587,0.02092959
thenightmarebegins (highest),classical,-0.14327270,0.03538895
thoughts (highest),classical,-0.03203319,-0.01690877
tifap (highest),classical,0.00390832,0.01601418
tpirtsd-piano (highest),classical,-0.06086481,0.03911457
traitor (highest),classical,-0.14429130,0.02821671
BlackMarket (highest),jazz,-0.01162196,0.05518261
BlackMountainRag (highest),jazz,-0.02155447,0.07005177
BlackPage (highest),jazz,0.34606107,0.09172121
Blows (highest),jazz,0.01647424,0.03537117
BlueAngel (highest),jazz,-0.01991760,0.06102194
Chinatawn (highest),jazz,-0.02000086,0.06487873
ChipBlue (highest),jazz,-0.01568641,-0.08875933
Chromazone (highest),jazz,-0.05921605,0.05172668
CindyOhCindy (highest),jazz,0.01939339,0.02536654
CitygateRumble (highest),jazz,0.04256731,-0.03482092
Dying (highest),jazz,-0.00201835,0.06154140
MrMelody (highest),jazz,-0.06376760,-0.05751374
NativeSonsOfADistantLand (highest),jazz,0.00897604,-0.00845505
NaturalElements (highest),jazz,0.04913888,-0.01463631
NearnessOfYou (highest),jazz,0.16137216,-0.09433310
ATeam (highest),pop,0.10788447,0.08658384
ChasingPavements (highest),pop,0.05364328,-0.03698260
EasyOnMe (highest),pop,0.10338195,-0.02466579
Fearless (highest),pop,0.05024324,-0.04360390
GalwayGirl (highest),pop,0.07573653,-0.01421318
Hello (highest),pop,0.02713022,0.07663062
IsItOverNow (highest),pop,0.20130336,-0.12105275
Lovesong (highest),pop,0.15810843,-0.06428535
LoveStory (highest),pop,-0.01825841,-0.02936827
Mine (highest),pop,-0.15288366,-0.14955824
OurSong (highest),pop,0.04062471,-0.02691451
Perfect (highest),pop,-0.14358538,0.00668115
ShapeofYou (highest),pop,-0.06174358,0.05801989
SomeoneLikeYou (highest),pop,-0.00172495,0.03499202
ThinkingOutLoud (highest),pop,0.16237947,-0.00487514
AnotherOneBitesTheDust (highest),rock,-0.13356831,-0.13778931
BohemianRhapsody (highest),rock,-0.01346100,-0.05209290
Clocks (highest),rock,-0.04094893,-0.00533156
Creep (highest),rock,-0.06286124,-0.11074908
dontlookbackinanger (highest),rock,0.06101610,0.14216173
DontStopMeNow (highest),rock,0.01245762,-0.02500571
Everglow (highest),rock,-0.00046732,-0.10185560
GreenEyes (highest),rock,-0.02373340,0.07401841
HotelCalifornia (highest),rock,0.08249454,-0.02616226
SmellsLikeTeenSpirit (highest),rock,0.05388969,0.01900725
VivaLaVida (highest),rock,0.05438372,0.00819623
WeAreTheChampions (highest),rock,0.17226013,0.00975591
WeWillRockYou (highest),rock,-0.03096606,-0.03178488
Wonderwall (highest),rock,-0.02439669,-0.05997007
Yellow (highest),rock,0.05293664,-0.06687811
