name,genre,mds_x,mds_y
BlueStone_LastDungeon (highest),classical,-0.13595548,0.00198013
caitsith (highest),classical,-0.13646724,0.00523388
Cids (highest),classical,-0.13692983,0.00890426
cosmo (highest),classical,-0.13738450,0.00623773
costadsol (highest),classical,-0.13713958,0.00768310
dayafter (highest),classical,-0.13695958,0.00828035
decisive (highest),classical,-0.13636412,0.00505814
DOS (highest),classical,-0.13533820,0.00096169
thenightmarebegins (highest),classical,-0.13721065,0.00943073
thoughts (highest),classical,-0.01631918,-0.00471133
tifap (highest),classical,0.01079734,0.02476342
tpirtsd-piano (highest),classical,-0.05605748,0.05162160
traitor (highest),classical,-0.13706506,0.00647661
BlackMarket (highest),jazz,-0.00771440,0.05490840
BlackMountainRag (highest),jazz,-0.01938296,0.07032123
Blows (highest),jazz,0.02010620,0.04704212
BlueAngel (highest),jazz,-0.01748748,0.06979155
Chinatawn (highest),jazz,-0.01777243,0.06761061
ChipBlue (highest),jazz,0.01183360,-0.08519638
Chromazone (highest),jazz,-0.05531975,0.04602429
CindyOhCindy (highest),jazz,0.02895312,0.03761343
CitygateRumble (highest),jazz,0.05558287,-0.03214118
Dying (highest),jazz,-0.00093556,0.06202412
MrMelody (highest),jazz,-0.03683425,-0.04924917
NativeSonsOfADistantLand (highest),jazz,0.02337876,0.00174531
NaturalElements (highest),jazz,0.06732503,0.01361057
NearnessOfYou (highest),jazz,0.18507255,-0.07195864
ATeam (highest),pop,0.10528592,0.11826566
ChasingPavements (highest),pop,0.06630789,-0.01899618
EasyOnMe (highest),pop,0.11563127,-0.00238179
Fearless (highest),pop,0.06400719,-0.03257277
GalwayGirl (highest),pop,0.08635536,0.01384470
Hello (highest),pop,0.02741715,0.09193703
IsItOverNow (highest),pop,0.22710000,-0.07105988
Lovesong (highest),pop,0.17746956,-0.03280946
LoveStory (highest),pop,0.00329785,-0.01980425
Mine (highest),pop,-0.09890685,-0.15083452
OurSong (highest),pop,0.05317516,-0.01821997
Perfect (highest),pop,-0.13451671,-0.00567482
ShapeofYou (highest),pop,-0.05880104,0.05273181
SomeoneLikeYou (highest),pop,0.00333616,0.03862930
ThinkingOutLoud (highest),pop,0.18022159,0.05164626
AnotherOneBitesTheDust (highest),rock,-0.08357348,-0.14407123
BohemianRhapsody (highest),rock,0.00904759,-0.04751926
Clocks (highest),rock,-0.02585712,0.00796174
Creep (highest),rock,-0.01889977,-0.10905023
DontStopMeNow (highest),rock,0.02768628,-0.02228324
Everglow (highest),rock,0.02640275,-0.09169139
GreenEyes (highest),rock,-0.02145824,0.07489506
HotelCalifornia (highest),rock,0.09244324,-0.01115821
SmellsLikeTeenSpirit (highest),rock,0.06137176,0.03299817
VivaLaVida (highest),rock,0.06115408,0.02631405
WeAreTheChampions (highest),rock,0.18269685,0.05428545
WeWillRockYou (highest),rock,-0.01061964,-0.03439810
Wonderwall (highest),rock,0.00279607,-0.05584759
Yellow (highest),rock,0.07101741,-0.05920290
