genre,file,status,notes,duration_seconds
classical,appass_1.mid,ok,3939,567.1470783332328
classical,appass_2.mid,ok,874,409.6071935636536
classical,bach_846.mid,ok,913,199.45945945945948
classical,bach_847.mid,ok,965,134.20408163265307
classical,bach_850.mid,ok,848,105.32374100719424
classical,beethoven_hammerklavier_1.mid,ok,3614,460.10869565217394
classical,beethoven_hammerklavier_2.mid,ok,749,129.25
classical,beethoven_les_adieux_1.mid,ok,1716,1029.9133351970925
classical,beethoven_les_adieux_2.mid,ok,427,178.13333333333333
classical,beethoven_opus10_1.mid,ok,1639,379.9912720925158
classical,beethoven_opus10_2.mid,ok,824,388.9051094890511
classical,chp_op18.mid,ok,1731,309.7034651799875
classical,chp_op31.mid,ok,3243,537.4157303370787
classical,chpn_op10_e01.mid,ok,1115,124.82758620689656
classical,chpn_op10_e05.mid,ok,611,86.89655172413794
classical,chpn_op7_1.mid,ok,574,129.16666666666669
classical,chpn_op7_2.mid,ok,507,149.58333333333334
classical,mond_1.mid,ok,823,329.7635886037583
classical,mond_2.mid,ok,340,119.42857142857143
classical,mz_311_1.mid,ok,1826,254.6710851018825
classical,mz_311_2.mid,ok,689,279.79274611398966
classical,mz_311_3.mid,ok,2060,329.82257957339357
classical,mz_330_1.mid,ok,2386,552.3282618718304
classical,mz_330_2.mid,ok,742,356.48885350318466
classical,mz_330_3.mid,ok,2400,467.1232876712329
folk,ashover11.mid,ok,169,47.5
folk,ashover12.mid,ok,239,63.5
folk,ashover13.mid,ok,266,63.0
folk,ashover14.mid,ok,132,35.75
folk,ashover15.mid,ok,181,104.0
folk,ashover16.mid,ok,147,31.75
folk,ashover17.mid,ok,374,95.0
folk,ashover18.mid,ok,180,59.25
folk,ashover19.mid,ok,175,63.5
folk,ashover2.mid,ok,214,63.5
folk,ashover20.mid,ok,305,79.25
folk,ashover21.mid,ok,208,71.25
folk,ashover23.mid,ok,238,62.5
folk,ashover24.mid,ok,252,63.5
folk,ashover25.mid,ok,129,35.25
folk,ashover26.mid,ok,126,35.5
folk,ashover27.mid,ok,171,48.0
folk,ashover28.mid,ok,122,31.5
folk,ashover29.mid,ok,189,47.5
folk,ashover3.mid,ok,287,79.25
folk,ashover30.mid,ok,136,35.5
folk,ashover32.mid,ok,120,31.75
folk,ashover33.mid,ok,114,31.25
jazz,A Sleepin' Bee.mid,ok,552,184.57894736842104
jazz,afine-1.MID,ok,662,194.0
jazz,Aghostofachance.mid,ok,1364,532.25
jazz,AHouseis.mid,ok,739,354.09090909090907
jazz,AllTheThings Reharmonized.mid,ok,1407,417.6923076923077
jazz,Anighting.mid,ok,1267,301.34615384615387
jazz,Beautiful Love (Doug McKenzie).mid,ok,2335,509.91869918699183
jazz,Begin The Beguine.mid,ok,723,164.47058823529412
jazz,Blameiton.mid,ok,611,299.0163934426229
jazz,BrazilianSuite.mid,ok,726,165.98130841121494
jazz,Carnival.mid,ok,1282,298.252427184466
jazz,Close your eyes (1).mid,ok,1328,268.21875
jazz,Close your eyes.mid,ok,1328,268.21875
jazz,Day Dream.mid,ok,1224,460.8666666666667
jazz,Dreamsville.mid,ok,948,375.8333333333333
jazz,EasytoLove2.mid,ok,792,238.73076923076925
jazz,estate.mid,ok,721,262.8125
jazz,Falling in Love with Love trio.mid,ok,977,222.51724137931035
jazz,Far away places.mid,ok,489,257.9
jazz,Georgia.mid,ok,664,315.4842451188865
jazz,simplelife.mid,ok,540,183.37078651685394
pop,001.mid,ok,757,191.44444444444443
pop,002.mid,ok,729,228.46774193548387
pop,003.mid,ok,813,227.1951219512195
pop,004.mid,ok,479,189.38547486033522
pop,005.mid,ok,1119,280.3076923076923
pop,006.mid,ok,1596,223.1896551724138
pop,007.mid,ok,1596,235.95588235294116
pop,008.mid,ok,840,259.0
pop,009.mid,ok,1266,253.69565217391303
pop,010.mid,ok,1057,299.1666666666667
pop,011.mid,ok,1467,342.6515151515151
pop,012.mid,ok,1111,292.7272727272727
pop,013.mid,ok,889,206.61538461538464
pop,014.mid,ok,985,195.86614173228347
