name,genre,x,y
appass_1,classical,0.15900053,0.04569959
appass_2,classical,0.18478732,0.00583088
bach_846,classical,0.16120053,-0.13395271
bach_847,classical,0.03989702,-0.06381238
bach_850,classical,0.11444124,-0.12142759
beethoven_hammerklavier_1,classical,0.12315831,0.01491573
beethoven_hammerklavier_2,classical,0.15795969,0.02411456
beethoven_les_adieux_1,classical,0.16027383,0.02464483
beethoven_les_adieux_2,classical,0.21628446,-0.06710739
beethoven_opus10_1,classical,0.11023141,0.01577555
beethoven_opus10_2,classical,0.15197578,0.03028242
chp_op18,classical,0.10810132,-0.00611085
chp_op31,classical,0.12955142,0.04076410
chpn_op10_e01,classical,0.03991477,-0.04420921
chpn_op10_e05,classical,0.03921455,-0.03614239
chpn_op7_1,classical,0.15641995,-0.00409582
chpn_op7_2,classical,0.15479204,-0.04083929
mond_1,classical,0.20401507,0.04315393
mond_2,classical,0.07439835,-0.01293309
mz_311_1,classical,0.20528222,-0.04856689
mz_311_2,classical,0.20570974,-0.08191945
mz_311_3,classical,0.17781311,-0.06703235
mz_330_1,classical,0.11279181,-0.03012812
mz_330_2,classical,0.16378480,-0.00892636
mz_330_3,classical,0.17634686,-0.06124112
ashover11,folk,-0.13309041,-0.09108939
ashover12,folk,-0.13320909,-0.09281280
ashover13,folk,-0.13143205,-0.08152207
ashover14,folk,-0.13320032,-0.09323715
ashover15,folk,-0.13207963,-0.08304067
ashover16,folk,-0.13227229,-0.08564019
ashover17,folk,-0.13295838,-0.08757935
ashover18,folk,-0.13300791,-0.08358542
ashover19,folk,-0.13306559,-0.09302459
ashover2,folk,-0.13262756,-0.09387835
ashover20,folk,-0.13276317,-0.09011157
ashover21,folk,-0.13236331,-0.08316807
ashover22,folk,-0.13332503,-0.08846045
ashover23,folk,-0.13232555,-0.08288514
ashover24,folk,-0.13174463,-0.08644117
ashover25,folk,-0.13226280,-0.08891822
ashover26,folk,-0.13187340,-0.08159196
ashover27,folk,-0.13330307,-0.08916839
ashover28,folk,-0.13240894,-0.09052314
ashover29,folk,-0.13246995,-0.08583732
ashover3,folk,-0.13300229,-0.09175902
ashover30,folk,-0.13185778,-0.08559691
ashover31,folk,-0.13411705,-0.07821895
ashover32,folk,-0.13351847,-0.09482237
ashover33,folk,-0.13160763,-0.08468554
A Sleepin' Bee,jazz,0.19757905,0.04262649
afine-1,jazz,0.22637038,-0.02272686
Aghostofachance,jazz,0.22180411,0.07248090
AHouseis,jazz,0.20476623,0.00018323
AliceInWonderland,jazz,0.17840068,0.06815682
AllTheThings Reharmonized,jazz,0.18086107,0.05447404
Anighting,jazz,0.21190800,-0.02791553
Beautiful Love (Doug McKenzie),jazz,0.13933648,0.00880614
Begin The Beguine,jazz,0.19943814,0.02838534
Blameiton,jazz,0.12671898,0.01027570
BrazilianSuite,jazz,0.19046163,0.06984853
Brazillike,jazz,0.08113123,0.00694085
Carnival,jazz,0.13675326,0.02494568
Close your eyes (1),jazz,0.13454911,0.03553143
Close your eyes,jazz,0.13454911,0.03553143
Day Dream,jazz,0.18973879,-0.04360804
Desafinado,jazz,0.13453723,0.03589604
Dreamsville,jazz,0.15787761,0.03555661
EasytoLove2,jazz,0.19302147,-0.03936174
Effendi - McCoy Tyner,jazz,0.05914158,0.02540913
estate,jazz,0.20450830,0.05793216
Falling in Love with Love trio,jazz,0.10553796,0.02760146
Far away places,jazz,0.11975801,0.02384757
Georgia,jazz,0.10679729,0.00030320
simplelife,jazz,0.15959438,-0.02251329
001,pop,-0.10482971,0.09959953
002,pop,-0.07766668,0.03485051
003,pop,-0.07380731,0.03520280
004,pop,-0.03342232,0.02935134
005,pop,-0.04399372,0.02916860
006,pop,-0.03563189,0.02676552
007,pop,-0.09690263,0.06727023
008,pop,-0.09996356,0.08923261
009,pop,-0.06826074,0.01575815
010,pop,-0.10768515,0.06772432
011,pop,-0.00140833,0.01203295
012,pop,-0.03795734,0.03455790
013,pop,-0.05129629,0.05415519
014,pop,-0.09253854,0.06960565
015,pop,-0.05619419,0.04203444
016,pop,-0.04108789,0.04070872
017,pop,-0.09204798,0.08720417
018,pop,-0.09685518,0.09115230
019,pop,-0.01547421,0.01862569
020,pop,-0.06630599,0.04579006
021,pop,-0.08573434,0.04616648
022,pop,-0.13225981,0.08162500
023,pop,-0.12819418,0.05570160
024,pop,-0.07207622,0.05109611
025,pop,-0.11676247,0.07342216
AHumanBody,rock,-0.14848838,0.14369172
AllGodsPeople,rock,0.01218330,-0.00357270
AllMyLove,rock,0.14711847,-0.01202580
AnotherOneBitesTheDust,rock,-0.29632224,0.14185264
BlackDog,rock,-0.41012035,0.11326916
BohemianRhapsody,rock,-0.06965665,0.06464509
BringItOnHome,rock,-0.05471217,0.01395056
BronYrAur,rock,-0.31745015,0.02468403
Clocks,rock,-0.18109952,-0.02437423
CommunicationBreakdown,rock,-0.10519099,0.09989497
Creep,rock,-0.12016936,0.12542048
DazedAndConfused,rock,-0.06105543,0.03921257
DontStopMeNow,rock,-0.07160534,0.02194345
Everglow,rock,-0.06279480,0.07630874
GreenEyes,rock,-0.18004987,-0.04240243
Heartbreaker,rock,-0.12575329,0.09405330
HotelCalifornia,rock,0.00435870,-0.00703939
InTheEvening,rock,-0.06231011,0.07065251
SmellsLikeTeenSpirit,rock,-0.04227799,-0.02979956
VivaLaVida,rock,-0.03655674,-0.03628122
WeAreTheChampions,rock,0.04785954,-0.07600862
WeWillRockYou,rock,-0.09812925,0.06448606
Wonderwall,rock,-0.09844304,0.06534751
Yellow,rock,-0.04757760,0.03554346
